作品名称,年份,剧本,画面,音乐,总评,评级,个人差,BGM,Δ,初次完成日期
アシュラ,2012,55,56,89,60.4,C-,1.9,7.0,-1.0,2020-07-27
CLANNAD 〜AFTER STORY〜,2008,47,75,78,60.1,D+,2.1,9.1,-3.1,2025-04-25
Sonny Boy -サニーボーイ-,2021,46,75,71,58.4,D+,5.3,7.7,-1.9,2023-12-20
ぼっち・ざ・ろっく！,2022,42,72,81,56.9,D,2.6,8.4,-2.7,2023-01-19
CLANNAD -クラナド-,2007,43,69,78,56.1,D,1.9,8.3,-2.7,2025-03-25
STRIKE THE BLOOD,2013,40,61,83,52.8,D-,1.0,6.6,-1.3,2016-08-23
ポプテピピック,2018,39,65,75,52.2,D-,6.8,5.6,-0.4,2018-06-06
SHIROBAKO,2014,45,57,56,50.3,D-,1.9,8.7,-3.7,2023-07-27
ラブライブ! The School Idol Movie,2015,37,44,66,43.4,E,1.6,7.3,-3.0,2016-06-18
ラブライブ! 第2期,2014,37,43,66,43.2,E,1.5,7.2,-2.9,2016-02-12
ラブライブ!,2013,36,43,64,42.3,E,1.8,7.1,-2.9,2016-02-08
ラブライブ! サンシャイン!!,2016,33,44,65,41.1,E-,1.5,6.5,-2.4,2016-09-04
お兄ちゃんはおしまい！,2023,30,49,58,39.9,F+,1.6,7.6,-3.6,2023-03-24
Muv-Luv Alternative,2021,28,37,89,39.9,F,1.3,4.9,-0.9,2022-09-12
Muv-Luv Alternative 第2期,2022,25,39,90,39.0,F,1.4,~5.7,-1.8,2023-09-06
生徒会役員共,2010,32,41,54,38.0,F,1.6,7.5,-3.7,2017-10-14
劇場版 生徒会役員共,2017,30,41,53,36.8,F,1.0,7.4,-3.7,2017-10-22
チャージマン研!,1974,5,11,25,9.8,F-,1.5,4.8,-3.8,2024-05-20
